server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:16:04.583473;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.591582;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.599875;(2250,2,-514);(975,-638,-1120)
2021-07-06T12:16:04.606929;(2254,13,-517);(983,-611,-1130)
2021-07-06T12:16:04.615322;(2254,13,-517);(983,-611,-1130)
2021-07-06T12:16:04.623140;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.630753;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.638614;(2251,8,-508);(989,-594,-1139)
2021-07-06T12:16:04.647425;(2259,18,-487);(996,-593,-1140)
2021-07-06T12:16:04.656365;(2259,18,-487);(996,-593,-1140)
2021-07-06T12:16:04.666001;(2262,10,-483);(999,-595,-1144)
2021-07-06T12:16:04.676510;(2262,10,-483);(999,-595,-1144)
2021-07-06T12:16:04.685974;(2261,20,-508);(1002,-612,-1137)
2021-07-06T12:16:04.696310;(2261,20,-508);(1002,-612,-1137)
2021-07-06T12:16:04.708119;(2260,19,-502);(1004,-622,-1136)
2021-07-06T12:16:04.716189;(2260,19,-502);(1004,-622,-1136)
2021-07-06T12:16:04.724227;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.734130;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.741785;(2271,35,-514);(1014,-608,-1128)
2021-07-06T12:16:04.749200;(2280,36,-497);(1030,-612,-1114)
2021-07-06T12:16:04.758520;(2280,36,-497);(1030,-612,-1114)
2021-07-06T12:16:04.765479;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.774459;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.782049;(2274,33,-496);(1037,-606,-1070)
2021-07-06T12:16:04.791406;(2265,13,-493);(1055,-600,-1041)
2021-07-06T12:16:04.800529;(2265,13,-493);(1055,-600,-1041)
2021-07-06T12:16:04.808520;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.816505;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.823509;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.831354;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.839616;(2267,26,-497);(1052,-611,-1027)
2021-07-06T12:16:04.848507;(2262,20,-510);(1078,-642,-1025)
2021-07-06T12:16:04.857361;(2262,20,-510);(1078,-642,-1025)
2021-07-06T12:16:04.865538;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.873950;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.881003;(2262,19,-505);(1081,-642,-1022)
2021-07-06T12:16:04.888837;(2266,26,-508);(1085,-634,-1017)
2021-07-06T12:16:04.896139;(2266,26,-508);(1085,-634,-1017)
2021-07-06T12:16:04.903646;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.912654;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.921435;(2263,14,-503);(1097,-619,-1010)
2021-07-06T12:16:04.930279;(2268,22,-523);(1102,-618,-1017)
2021-07-06T12:16:04.938755;(2268,22,-523);(1102,-618,-1017)
2021-07-06T12:16:04.945690;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.953311;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.960546;(2263,12,-528);(1120,-627,-1016)
2021-07-06T12:16:04.970724;(2262,19,-523);(1127,-625,-1008)
2021-07-06T12:16:04.979220;(2262,19,-523);(1127,-625,-1008)
2021-07-06T12:16:04.988377;(2263,13,-525);(1130,-608,-1009)
2021-07-06T12:16:04.995662;(2263,13,-525);(1130,-608,-1009)
2021-07-06T12:16:05.002755;(2267,18,-526);(1137,-598,-1010)
2021-07-06T12:16:05.009610;(2267,18,-526);(1137,-598,-1010)
2021-07-06T12:16:05.017847;(2267,18,-526);(1137,-598,-1010)
2021-07-06T12:16:05.026284;(2267,11,-535);(1138,-593,-1008)
2021-07-06T12:16:05.035439;(2267,11,-535);(1138,-593,-1008)
2021-07-06T12:16:05.044072;(2256,10,-539);(1145,-576,-1015)
2021-07-06T12:16:05.051324;(2256,10,-539);(1145,-576,-1015)
2021-07-06T12:16:05.058754;(2256,10,-539);(1145,-576,-1015)
2021-07-06T12:16:05.065219;(2257,4,-534);(1156,-565,-1018)
2021-07-06T12:16:05.072529;(2257,4,-534);(1156,-565,-1018)
2021-07-06T12:16:05.081549;(2257,4,-534);(1156,-565,-1018)
2021-07-06T12:16:05.090809;(2258,6,-533);(1163,-561,-1034)
2021-07-06T12:16:05.099843;(2258,6,-533);(1163,-561,-1034)
2021-07-06T12:16:05.108901;(2260,8,-532);(1158,-544,-1045)
2021-07-06T12:16:05.117133;(2260,8,-532);(1158,-544,-1045)
2021-07-06T12:16:05.125487;(2262,12,-528);(1174,-535,-1051)
2021-07-06T12:16:05.133299;(2262,12,-528);(1174,-535,-1051)
2021-07-06T12:16:05.141732;(2262,12,-528);(1174,-535,-1051)
2021-07-06T12:16:05.148478;(2261,4,-541);(1181,-513,-1058)
2021-07-06T12:16:05.155697;(2261,4,-541);(1181,-513,-1058)
2021-07-06T12:16:05.163386;(2250,3,-526);(1191,-490,-1069)
2021-07-06T12:16:05.171742;(2250,3,-526);(1191,-490,-1069)
2021-07-06T12:16:05.179189;(2250,3,-526);(1191,-490,-1069)
2021-07-06T12:16:05.186615;(2252,-5,-520);(1185,-473,-1099)
2021-07-06T12:16:05.193881;(2252,-5,-520);(1185,-473,-1099)
2021-07-06T12:16:05.201437;(2252,-5,-520);(1185,-473,-1099)
2021-07-06T12:16:05.210409;(2261,0,-508);(1187,-464,-1135)
2021-07-06T12:16:05.220282;(2261,0,-508);(1187,-464,-1135)
2021-07-06T12:16:05.228027;(2261,6,-527);(1194,-451,-1163)
2021-07-06T12:16:05.235228;(2261,6,-527);(1194,-451,-1163)
2021-07-06T12:16:05.242971;(2261,6,-527);(1194,-451,-1163)
2021-07-06T12:16:05.249993;(2267,11,-522);(1208,-437,-1183)
2021-07-06T12:16:05.257182;(2267,11,-522);(1208,-437,-1183)
2021-07-06T12:16:05.265692;(2266,7,-533);(1209,-423,-1185)
2021-07-06T12:16:05.274139;(2266,7,-533);(1209,-423,-1185)
2021-07-06T12:16:05.282969;(2266,7,-533);(1209,-423,-1185)
2021-07-06T12:16:05.290305;(2270,14,-522);(1214,-403,-1184)
2021-07-06T12:16:05.298534;(2270,14,-522);(1214,-403,-1184)
2021-07-06T12:16:05.306335;(2264,8,-521);(1225,-374,-1171)
2021-07-06T12:16:05.314313;(2264,8,-521);(1225,-374,-1171)
2021-07-06T12:16:05.323549;(2264,8,-521);(1225,-374,-1171)
2021-07-06T12:16:05.331347;(2267,7,-527);(1237,-358,-1172)
2021-07-06T12:16:05.340050;(2267,7,-527);(1237,-358,-1172)
2021-07-06T12:16:05.347930;(2259,2,-529);(1255,-337,-1180)
2021-07-06T12:16:05.356979;(2259,2,-529);(1255,-337,-1180)
2021-07-06T12:16:05.365971;(2271,6,-527);(1253,-324,-1193)
2021-07-06T12:16:05.375239;(2271,6,-527);(1253,-324,-1193)
2021-07-06T12:16:05.382514;(2271,6,-527);(1253,-324,-1193)
2021-07-06T12:16:05.390567;(2277,8,-521);(1261,-327,-1196)
2021-07-06T12:16:05.398327;(2277,8,-521);(1261,-327,-1196)
2021-07-06T12:16:05.406742;(2270,15,-529);(1259,-338,-1206)
2021-07-06T12:16:05.415406;(2270,15,-529);(1259,-338,-1206)
2021-07-06T12:16:05.422488;(2270,15,-529);(1259,-338,-1206)
2021-07-06T12:16:05.429759;(2268,10,-525);(1273,-339,-1199)
2021-07-06T12:16:05.438538;(2268,10,-525);(1273,-339,-1199)
2021-07-06T12:16:05.446465;(2271,7,-531);(1271,-339,-1204)
2021-07-06T12:16:05.456079;(2271,7,-531);(1271,-339,-1204)
