File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
2.075	-0.5051	0.0824	-0.0075
2.08	-0.5038	0.0824	-0.0087
2.085	-0.5038	0.0824	-0.0075
2.09	-0.5051	0.0824	-0.0075
2.095	-0.5038	0.0824	-0.0087
2.1	-0.5038	0.0824	-0.0075
2.105	-0.5025	0.0824	-0.0075
2.11	-0.5051	0.0824	-0.01
2.115	-0.5038	0.0824	-0.0087
2.12	-0.5038	0.0837	-0.0087
2.125	-0.5038	0.0837	-0.01
2.13	-0.5038	0.0824	-0.01
2.135	-0.5051	0.0812	-0.0075
2.14	-0.5038	0.0824	-0.0075
2.145	-0.5038	0.0824	-0.0075
2.15	-0.5038	0.0824	-0.0087
2.155	-0.5038	0.0824	-0.0087
2.16	-0.5051	0.0824	-0.0075
2.165	-0.5025	0.0824	-0.0075
2.17	-0.5038	0.0824	-0.0075
2.175	-0.5051	0.0824	-0.0087
2.18	-0.5051	0.0812	-0.0075
2.185	-0.5038	0.0824	-0.0087
2.19	-0.5025	0.0812	-0.0087
2.195	-0.5051	0.0837	-0.0087
2.2	-0.5025	0.0824	-0.0087
2.205	-0.5025	0.0824	-0.0075
2.21	-0.5038	0.0812	-0.0087
2.215	-0.5038	0.0837	-0.0087
2.22	-0.5038	0.0812	-0.0075
2.225	-0.5038	0.0824	-0.0087
2.23	-0.5051	0.0824	-0.01
2.235	-0.5025	0.0824	-0.0087
2.24	-0.5038	0.0837	-0.0087
2.245	-0.5025	0.0824	-0.0075
2.25	-0.5051	0.0812	-0.0062
2.255	-0.5038	0.0824	-0.0087
2.26	-0.5038	0.0824	-0.0075
2.265	-0.5038	0.0837	-0.0075
2.27	-0.5038	0.0824	-0.0087
2.275	-0.5038	0.0824	-0.0087
2.28	-0.5038	0.0824	-0.0075
2.285	-0.5051	0.0837	-0.0075
2.29	-0.5051	0.0837	-0.0087
2.295	-0.5038	0.0824	-0.0087
